year,gender,name,age,dist1,time1,dist2,time2
2025,f,00478D47798313EAA319F5D3E4A49026,37,2000,518.8,5000,1286.9
2025,m,004845560B68955B1EC547B454FF0CED,34,1000,196.8,5000,1134
2025,f,007C3DED61F7A49EAB3082A690EEF400,55,2000,521.3,5000,1328.1
2025,f,00B4A211AE6121A6965C021BEC01F173,48,1000,287.3,5000,1424.9
2025,f,00CD0EA34B41B49703CF7CCA808366F0,48,1000,229.8,5000,1220.3
2025,f,0199B23BBAA85867516A1A1D782084A5,37,1000,211.5,2000,430.4
2025,f,0199B23BBAA85867516A1A1D782084A5,37,1000,211.5,5000,1154.3
2025,f,0199B23BBAA85867516A1A1D782084A5,37,2000,430.4,5000,1154.3
2025,m,01E94A29ECE9D101455FF8170C455CE9,30,1000,177.3,2000,387.8
2025,m,01E94A29ECE9D101455FF8170C455CE9,30,1000,177.3,5000,1058.6
2025,m,01E94A29ECE9D101455FF8170C455CE9,29,2000,387.8,5000,1058.6
2025,m,0238C3DC7681624EBA4F7926B517FEAD,55,1000,181.1,2000,388.5
2025,m,0238C3DC7681624EBA4F7926B517FEAD,55,1000,181.1,5000,1074.3
2025,m,0238C3DC7681624EBA4F7926B517FEAD,55,2000,388.5,5000,1074.3
2025,m,028AFD3802B7179C449D80571CD26917,32,1000,191.2,5000,1114.9
2025,f,0290B47B312E29C8C06C421823B086AF,50,2000,496.8,5000,1305.6
2025,f,02CFE8B8E60AC940F14EE06A5502908C,51,1000,274,2000,548.5
2025,m,02E06BA123180F7688DAE848DDDEC9E6,32,1000,192.1,2000,415
2025,m,02E06BA123180F7688DAE848DDDEC9E6,32,1000,192.1,5000,1107.2
2025,m,02E06BA123180F7688DAE848DDDEC9E6,32,2000,415,5000,1107.2
2025,f,030A257DFA7DD7BD2F36C2C183E82F78,70,1000,279.6,5000,1478.9
2025,f,03DD773B7E3EDC08B32E8CB6082F8F83,37,1000,219.8,2000,467.3
2025,f,03E930FEEA73B033B9ACAD3BEC2D6EBD,40,1000,221,5000,1255.3
2025,m,03F7629B5B7F31F69D5B29DAAAF82091,42,1000,192.1,5000,1077.4
2025,m,03F99C77C6B6403B89FB9D86099DF617,39,1000,192.5,2000,410.5
2025,m,03F99C77C6B6403B89FB9D86099DF617,39,1000,192.5,5000,1079.6
2025,m,03F99C77C6B6403B89FB9D86099DF617,38,2000,410.5,5000,1079.6
2025,m,041D28D544B7486B9564F0A67459A21A,38,1000,198.3,2000,413.2
2025,m,041D28D544B7486B9564F0A67459A21A,38,1000,198.3,5000,1075.5
2025,m,041D28D544B7486B9564F0A67459A21A,37,2000,413.2,5000,1075.5
2025,m,0464DBE4F0F77E4797F5D06DF31841EB,34,2000,383.4,5000,1046.8
2025,m,04801415A89A5EE512A3E4D2C48A74CD,40,2000,402.4,5000,1072.3
2025,f,0497ED56FEAFFB56F385E774F4BB4663,51,1000,253.5,5000,1391.7
2025,m,04B798227026A15FFFFCA6BB0536AAE3,57,1000,200.3,5000,1134.6
2025,f,04EFB31113020A35ABC57F18B7C92B34,49,1000,284.8,5000,1538.6
2025,f,050C45D19FB94C49034D7576CBA78024,55,1000,254.8,2000,513
2025,f,052B9E6CB3D87D058E6C8CE4680F3B99,43,1000,277.9,5000,1426.6
2025,m,0586803E2678BD6815BF980359CADDA3,50,2000,397.5,5000,1015.8
2025,m,059E5D895B359F3C68C756205639067D,47,1000,189.7,2000,417.1
2025,m,05B4911AC363D594DB6B1111522DE9C0,50,1000,178.8,2000,383.3
2025,m,05B4911AC363D594DB6B1111522DE9C0,50,1000,178.8,5000,1028.3
2025,m,05B4911AC363D594DB6B1111522DE9C0,50,2000,383.3,5000,1028.3
2025,f,05EF5C06192E93EA9F807BB0BE134FE2,55,1000,258.7,2000,524.4
2025,f,05EF5C06192E93EA9F807BB0BE134FE2,55,1000,258.7,5000,1418.8
2025,f,05EF5C06192E93EA9F807BB0BE134FE2,55,2000,524.4,5000,1418.8
2025,m,063FA151B0DBB5B23F3E4B0BCCB88A4E,35,2000,399.5,5000,1083.1
2025,f,0648F569D2A3A70497DA19777D0E8273,48,2000,501.5,5000,1297.2
2025,f,06794C51BB6DA65867A922A608D77D73,28,1000,219.7,5000,1240.8
2025,m,0692F7554876B21F1CD1B8D1E7EA7FC0,49,1000,197.3,2000,404.3
